index,middle,ring,pinky
37.00,74.00,6674.00,34.00
34.00,93.00,43.00,31.00
97.00,189.00,78.00,21.00
216.00,328.00,150.00,22.00
227.00,461.00,153.00,21.00
205.00,395.00,165.00,53.00
205.00,483.00,167.00,39.00
223.00,-113.00,165.00,28.00
183.00,421.00,148.00,39.00
183.00,421.00,148.00,42.00
220.00,591.00,162.00,64.00
192.00,386.00,144.00,60.00
195.00,441.00,144.00,66.00
192.00,386.00,146.00,60.00
220.00,386.00,142.00,67.00
180.00,378.00,138.00,69.00
192.00,431.00,140.00,74.00
183.00,403.00,136.00,72.00
186.00,386.00,142.00,71.00
183.00,363.00,140.00,67.00
