index,middle,ring,pinky
28.00,47.00,8931.00,41.00
26.00,48.00,13444.00,38.00
28.00,46.00,21.00,37.00
33.00,47.00,24.00,42.00
46.00,225.00,47.00,42.00
180.00,363.00,130.00,31.00
252.00,348.00,172.00,103.00
239.00,328.00,189.00,150.00
223.00,303.00,178.00,139.00
244.00,341.00,181.00,143.00
248.00,309.00,183.00,136.00
231.00,297.00,189.00,175.00
220.00,297.00,234.00,199.00
212.00,286.00,215.00,223.00
205.00,315.00,223.00,216.00
205.00,328.00,243.00,189.00
202.00,303.00,230.00,227.00
