index,middle,ring,pinky
22.00,43.00,29.00,36.00
49.00,45.00,79.00,56.00
162.00,65.00,130.00,65.00
199.00,154.00,205.00,81.00
205.00,261.00,202.00,86.00
202.00,275.00,175.00,100.00
199.00,199.00,192.00,77.00
186.00,144.00,212.00,53.00
220.00,328.00,189.00,70.00
220.00,334.00,223.00,81.00
216.00,256.00,223.00,87.00
220.00,275.00,227.00,88.00
223.00,265.00,208.00,86.00
216.00,265.00,215.00,88.00
212.00,256.00,205.00,88.00
216.00,270.00,205.00,77.00
220.00,281.00,219.00,43.00
220.00,261.00,215.00,37.00
223.00,270.00,208.00,50.00
