index,middle,ring,pinky
7.00,32.00,14.00,28.00
10.00,41.00,19.00,33.00
22.00,281.00,81.00,32.00
192.00,441.00,170.00,51.00
239.00,370.00,170.00,53.00
205.00,461.00,195.00,42.00
209.00,507.00,199.00,63.00
195.00,412.00,195.00,58.00
192.00,483.00,178.00,56.00
205.00,431.00,183.00,47.00
244.00,421.00,186.00,48.00
209.00,412.00,178.00,52.00
186.00,412.00,170.00,52.00
192.00,421.00,172.00,46.00
183.00,348.00,153.00,46.00
199.00,363.00,160.00,49.00
189.00,370.00,175.00,51.00
186.00,348.00,170.00,47.00
186.00,348.00,162.00,51.00
186.00,341.00,167.00,52.00
