index,middle,ring,pinky
30.00,90.00,28.00,30.00
79.00,115.00,33.00,28.00
107.00,363.00,160.00,64.00
167.00,507.00,100.00,17.00
143.00,533.00,186.00,38.00
220.00,461.00,170.00,34.00
192.00,412.00,160.00,44.00
239.00,403.00,160.00,42.00
298.00,431.00,167.00,47.00
316.00,507.00,165.00,42.00
252.00,507.00,183.00,39.00
252.00,-113.00,150.00,18.00
261.00,472.00,153.00,32.00
281.00,34595.00,142.00,36.00
292.00,483.00,155.00,41.00
271.00,472.00,142.00,44.00
261.00,547.00,146.00,42.00
266.00,461.00,142.00,42.00
287.00,431.00,140.00,46.00
266.00,431.00,146.00,45.00
