index,middle,ring,pinky
23.00,46.00,21.00,37.00
23.00,48.00,20.00,38.00
22.00,44.00,20.00,41.00
22.00,64.00,25.00,42.00
65.00,96.00,23.00,39.00
199.00,328.00,40.00,32.00
252.00,507.00,108.00,25.00
261.00,461.00,215.00,136.00
244.00,472.00,234.00,177.00
227.00,472.00,239.00,143.00
220.00,421.00,243.00,167.00
235.00,412.00,223.00,183.00
216.00,421.00,227.00,177.00
205.00,395.00,215.00,183.00
205.00,386.00,219.00,199.00
199.00,355.00,208.00,199.00
183.00,378.00,219.00,202.00
169.00,348.00,202.00,220.00
