index,middle,ring,pinky
18.00,35.00,18.00,32.00
68.00,46.00,94.00,51.00
116.00,186.00,155.00,51.00
177.00,247.00,212.00,76.00
223.00,292.00,247.00,117.00
199.00,315.00,219.00,106.00
189.00,265.00,212.00,95.00
261.00,238.00,195.00,91.00
266.00,247.00,199.00,83.00
261.00,286.00,192.00,82.00
248.00,238.00,208.00,98.00
239.00,315.00,212.00,15.00
244.00,275.00,215.00,37.00
248.00,309.00,227.00,39.00
231.00,303.00,195.00,42.00
227.00,303.00,202.00,36.00
216.00,297.00,205.00,39.00
231.00,303.00,195.00,42.00
212.00,297.00,202.00,41.00
