index,middle,ring,pinky
17.00,55.00,27.00,31.00
21.00,88.00,27.00,28.00
35.00,334.00,142.00,22.00
227.00,386.00,157.00,20.00
287.00,507.00,140.00,22.00
-78.00,591.00,140.00,21.00
9483.00,472.00,153.00,23.00
281.00,520.00,123.00,18.00
266.00,472.00,132.00,18.00
261.00,533.00,138.00,23.00
248.00,520.00,132.00,23.00
235.00,431.00,162.00,28.00
202.00,451.00,157.00,30.00
189.00,451.00,138.00,24.00
50.00,47.00,23.00,26.00
8.00,0.00,3.00,17.00
17.00,29.00,16.00,33.00
19.00,41.00,27.00,39.00
25.00,45.00,30.00,41.00
32.00,59.00,31.00,37.00
