index,middle,ring,pinky
2.00,19.00,10.00,31.00
5.00,30.00,10.00,30.00
50.00,370.00,51.00,19.00
220.00,461.00,63.00,17.00
248.00,507.00,65.00,17.00
244.00,507.00,50.00,19.00
231.00,451.00,33.00,16.00
239.00,472.00,10.00,22.00
252.00,441.00,16.00,20.00
252.00,472.00,27.00,19.00
257.00,451.00,24.00,18.00
252.00,441.00,20.00,17.00
248.00,451.00,12.00,18.00
252.00,441.00,14.00,16.00
29.00,45.00,20.00,23.00
2.00,2.00,13.00,28.00
2.00,2.00,11.00,28.00
1.00,8.00,14.00,28.00
4.00,16.00,16.00,29.00
