index,middle,ring,pinky
17.00,348.00,195.00,186.00
18.00,341.00,202.00,177.00
17.00,370.00,199.00,180.00
21.00,341.00,195.00,186.00
15.00,341.00,199.00,169.00
19.00,355.00,165.00,180.00
17.00,355.00,189.00,183.00
17.00,341.00,181.00,186.00
18.00,395.00,186.00,180.00
17.00,348.00,202.00,186.00
16.00,348.00,181.00,180.00
16.00,378.00,192.00,167.00
17.00,386.00,181.00,172.00
18.00,321.00,183.00,180.00
16.00,370.00,189.00,164.00
19.00,355.00,199.00,177.00
19.00,370.00,181.00,180.00
17.00,348.00,189.00,177.00
20.00,341.00,183.00,183.00
17.00,370.00,183.00,169.00
17.00,341.00,183.00,186.00
18.00,348.00,178.00,180.00
17.00,386.00,183.00,175.00
18.00,363.00,178.00,164.00
20.00,348.00,175.00,183.00
19.00,341.00,181.00,162.00
17.00,355.00,181.00,175.00
20.00,334.00,178.00,180.00
22.00,370.00,186.00,183.00
22.00,11433.00,162.00,167.00
23.00,309.00,189.00,186.00
26.00,378.00,199.00,202.00
17.00,378.00,189.00,183.00
22.00,386.00,192.00,177.00
26.00,395.00,199.00,205.00
26.00,395.00,192.00,202.00
26.00,363.00,192.00,186.00
30.00,403.00,195.00,192.00
27.00,403.00,186.00,192.00
29.00,363.00,192.00,195.00
22.00,395.00,189.00,186.00
14.00,341.00,192.00,192.00
15.00,395.00,186.00,183.00
16.00,321.00,199.00,180.00
18.00,378.00,195.00,189.00
18.00,348.00,189.00,195.00
18.00,395.00,183.00,186.00
16.00,341.00,189.00,175.00
14.00,348.00,175.00,159.00
14.00,378.00,195.00,175.00
25.00,378.00,186.00,172.00
23.00,341.00,181.00,162.00
23.00,309.00,140.00,150.00
22.00,334.00,150.00,154.00
22.00,303.00,155.00,186.00
25.00,309.00,172.00,169.00
24.00,334.00,170.00,167.00
24.00,321.00,167.00,169.00
23.00,328.00,155.00,169.00
26.00,334.00,165.00,183.00
27.00,334.00,195.00,175.00
24.00,355.00,183.00,172.00
23.00,321.00,160.00,167.00
22.00,328.00,170.00,169.00
25.00,370.00,153.00,169.00
20.00,341.00,160.00,162.00
23.00,363.00,172.00,183.00
24.00,321.00,162.00,183.00
28.00,321.00,178.00,183.00
34.00,315.00,189.00,205.00
27.00,341.00,192.00,189.00
24.00,286.00,172.00,183.00
22.00,247.00,165.00,169.00
23.00,256.00,160.00,172.00
24.00,270.00,178.00,175.00
22.00,363.00,170.00,177.00
25.00,334.00,192.00,172.00
25.00,334.00,186.00,164.00
32.00,348.00,167.00,175.00
30.00,328.00,178.00,175.00
30.00,341.00,170.00,175.00
26.00,334.00,170.00,175.00
28.00,355.00,165.00,180.00
17.00,334.00,183.00,175.00
10.00,315.00,167.00,162.00
9.00,348.00,165.00,164.00
8.00,321.00,157.00,162.00
9.00,348.00,165.00,159.00
13.00,303.00,165.00,172.00
12.00,328.00,170.00,175.00
14.00,334.00,160.00,162.00
13.00,334.00,175.00,169.00
13.00,321.00,160.00,172.00
13.00,309.00,162.00,169.00
12.00,363.00,167.00,177.00
15.00,328.00,172.00,169.00
11.00,321.00,186.00,177.00
12.00,315.00,181.00,162.00
15.00,315.00,181.00,172.00
12.00,328.00,175.00,162.00
14.00,334.00,186.00,167.00
15.00,315.00,172.00,159.00
15.00,315.00,175.00,164.00
12.00,341.00,186.00,175.00
14.00,315.00,178.00,159.00
13.00,328.00,183.00,167.00
16.00,303.00,172.00,164.00
17.00,321.00,175.00,169.00
16.00,297.00,162.00,157.00
13.00,315.00,186.00,159.00
13.00,315.00,167.00,154.00
13.00,286.00,170.00,157.00
14.00,328.00,165.00,169.00
13.00,341.00,165.00,157.00
14.00,281.00,160.00,162.00
14.00,309.00,167.00,157.00
13.00,309.00,165.00,159.00
15.00,355.00,160.00,147.00
13.00,286.00,162.00,164.00
15.00,303.00,162.00,154.00
17.00,334.00,160.00,157.00
15.00,297.00,178.00,157.00
15.00,321.00,170.00,154.00
12.00,334.00,162.00,157.00
14.00,315.00,178.00,157.00
17.00,315.00,167.00,150.00
14.00,315.00,172.00,162.00
16.00,355.00,167.00,169.00
13.00,370.00,186.00,172.00
12.00,348.00,172.00,169.00
11.00,363.00,195.00,169.00
16.00,328.00,192.00,164.00
19.00,328.00,175.00,172.00
15.00,334.00,178.00,162.00
17.00,378.00,175.00,172.00
15.00,341.00,178.00,169.00
18.00,297.00,175.00,159.00
18.00,348.00,170.00,164.00
