index,middle,ring,pinky
169.00,309.00,167.00,32.00
175.00,395.00,175.00,34.00
172.00,348.00,178.00,35.00
172.00,395.00,175.00,36.00
175.00,328.00,167.00,36.00
162.00,378.00,160.00,37.00
175.00,386.00,181.00,35.00
159.00,441.00,186.00,39.00
172.00,363.00,175.00,39.00
177.00,363.00,167.00,36.00
169.00,421.00,162.00,34.00
172.00,378.00,162.00,36.00
164.00,386.00,165.00,34.00
175.00,403.00,165.00,35.00
162.00,378.00,160.00,30.00
159.00,386.00,170.00,25.00
164.00,395.00,181.00,25.00
177.00,348.00,181.00,25.00
209.00,355.00,170.00,26.00
175.00,386.00,181.00,19.00
183.00,328.00,167.00,32.00
172.00,281.00,183.00,39.00
177.00,281.00,172.00,42.00
164.00,309.00,165.00,42.00
177.00,297.00,162.00,43.00
159.00,334.00,167.00,43.00
175.00,303.00,162.00,49.00
180.00,309.00,165.00,62.00
164.00,275.00,162.00,77.00
180.00,309.00,178.00,71.00
177.00,334.00,181.00,15.00
175.00,355.00,205.00,14.00
186.00,412.00,192.00,24.00
150.00,386.00,192.00,30.00
172.00,395.00,192.00,34.00
195.00,363.00,202.00,31.00
169.00,363.00,186.00,32.00
164.00,370.00,192.00,32.00
162.00,395.00,199.00,32.00
186.00,363.00,202.00,33.00
167.00,355.00,202.00,31.00
169.00,403.00,186.00,32.00
172.00,378.00,175.00,32.00
159.00,292.00,162.00,55.00
167.00,265.00,167.00,103.00
159.00,247.00,175.00,84.00
162.00,256.00,189.00,86.00
150.00,238.00,157.00,86.00
150.00,247.00,167.00,55.00
154.00,251.00,181.00,8.00
175.00,238.00,165.00,9.00
199.00,238.00,175.00,8.00
209.00,270.00,175.00,9.00
195.00,309.00,155.00,12.00
192.00,303.00,142.00,18.00
183.00,328.00,134.00,15.00
177.00,341.00,134.00,23.00
177.00,348.00,150.00,47.00
180.00,334.00,140.00,64.00
177.00,328.00,172.00,98.00
164.00,348.00,157.00,82.00
164.00,386.00,155.00,78.00
164.00,370.00,170.00,86.00
175.00,348.00,172.00,103.00
167.00,355.00,162.00,104.00
175.00,348.00,160.00,98.00
167.00,341.00,162.00,88.00
157.00,309.00,148.00,78.00
127.00,341.00,165.00,84.00
143.00,321.00,178.00,91.00
134.00,309.00,195.00,34.00
139.00,328.00,212.00,17.00
145.00,321.00,186.00,25.00
139.00,321.00,183.00,43.00
162.00,334.00,189.00,12.00
183.00,341.00,160.00,11.00
175.00,315.00,172.00,12.00
172.00,286.00,165.00,10.00
180.00,309.00,162.00,10.00
169.00,321.00,155.00,11.00
159.00,370.00,155.00,12.00
159.00,292.00,157.00,11.00
154.00,315.00,160.00,9.00
159.00,281.00,146.00,11.00
164.00,321.00,165.00,13.00
162.00,328.00,148.00,13.00
154.00,309.00,153.00,10.00
157.00,292.00,142.00,14.00
104.00,281.00,132.00,14.00
123.00,270.00,155.00,15.00
114.00,229.00,140.00,16.00
107.00,261.00,132.00,26.00
109.00,261.00,140.00,45.00
114.00,297.00,153.00,29.00
111.00,303.00,130.00,39.00
116.00,217.00,155.00,70.00
114.00,265.00,144.00,65.00
97.00,229.00,153.00,74.00
39.00,221.00,165.00,72.00
235.00,309.00,155.00,54.00
271.00,315.00,167.00,52.00
244.00,315.00,167.00,53.00
231.00,309.00,157.00,52.00
231.00,292.00,138.00,55.00
220.00,341.00,167.00,54.00
212.00,341.00,150.00,52.00
209.00,341.00,153.00,48.00
205.00,370.00,162.00,49.00
212.00,348.00,160.00,52.00
202.00,328.00,162.00,55.00
199.00,348.00,155.00,52.00
202.00,363.00,153.00,54.00
192.00,355.00,144.00,54.00
192.00,363.00,175.00,49.00
199.00,363.00,186.00,22.00
180.00,355.00,165.00,20.00
199.00,355.00,181.00,28.00
205.00,348.00,167.00,31.00
189.00,363.00,167.00,36.00
195.00,378.00,150.00,35.00
199.00,378.00,165.00,34.00
177.00,341.00,162.00,36.00
180.00,386.00,162.00,39.00
186.00,355.00,172.00,38.00
183.00,309.00,172.00,32.00
189.00,341.00,178.00,32.00
177.00,363.00,175.00,30.00
195.00,370.00,183.00,26.00
186.00,386.00,183.00,25.00
177.00,461.00,146.00,46.00
235.00,355.00,155.00,40.00
195.00,348.00,144.00,39.00
220.00,395.00,142.00,48.00
212.00,370.00,140.00,47.00
195.00,386.00,142.00,47.00
212.00,363.00,140.00,46.00
199.00,341.00,140.00,49.00
199.00,328.00,140.00,48.00
202.00,321.00,140.00,51.00
199.00,321.00,136.00,50.00
199.00,328.00,150.00,51.00
