index,middle,ring,pinky
252.00,386.00,128.00,46.00
227.00,297.00,132.00,46.00
252.00,334.00,119.00,46.00
223.00,321.00,128.00,45.00
216.00,309.00,126.00,47.00
227.00,370.00,134.00,46.00
220.00,355.00,126.00,44.00
244.00,341.00,121.00,44.00
212.00,334.00,140.00,52.00
212.00,286.00,155.00,82.00
195.00,421.00,155.00,68.00
212.00,451.00,160.00,70.00
209.00,431.00,170.00,83.00
252.00,403.00,155.00,84.00
248.00,348.00,150.00,18.00
227.00,412.00,153.00,12.00
235.00,370.00,144.00,26.00
220.00,363.00,144.00,18.00
220.00,386.00,136.00,22.00
212.00,395.00,126.00,22.00
231.00,348.00,116.00,25.00
223.00,348.00,130.00,25.00
227.00,292.00,126.00,28.00
220.00,321.00,130.00,29.00
227.00,334.00,130.00,30.00
248.00,328.00,130.00,28.00
248.00,315.00,121.00,30.00
235.00,328.00,136.00,26.00
244.00,328.00,142.00,30.00
223.00,309.00,136.00,29.00
239.00,334.00,128.00,30.00
252.00,355.00,134.00,34.00
223.00,328.00,126.00,32.00
216.00,328.00,130.00,34.00
180.00,321.00,134.00,37.00
145.00,328.00,124.00,42.00
143.00,355.00,126.00,47.00
159.00,334.00,132.00,52.00
90.00,348.00,138.00,50.00
114.00,309.00,126.00,48.00
145.00,334.00,134.00,39.00
189.00,378.00,160.00,46.00
177.00,355.00,150.00,48.00
172.00,341.00,150.00,50.00
192.00,355.00,146.00,52.00
169.00,355.00,144.00,49.00
175.00,348.00,144.00,51.00
189.00,348.00,146.00,52.00
239.00,341.00,136.00,53.00
216.00,315.00,132.00,46.00
205.00,309.00,128.00,40.00
227.00,386.00,144.00,59.00
212.00,348.00,130.00,49.00
220.00,309.00,150.00,55.00
216.00,363.00,170.00,55.00
223.00,370.00,150.00,16.00
220.00,386.00,146.00,30.00
235.00,378.00,153.00,35.00
216.00,378.00,136.00,38.00
216.00,355.00,132.00,42.00
223.00,309.00,134.00,42.00
252.00,341.00,136.00,40.00
235.00,341.00,128.00,40.00
220.00,303.00,124.00,40.00
257.00,297.00,130.00,44.00
227.00,321.00,134.00,42.00
231.00,309.00,128.00,45.00
216.00,292.00,128.00,44.00
248.00,315.00,126.00,52.00
223.00,309.00,132.00,52.00
223.00,328.00,132.00,46.00
209.00,341.00,128.00,48.00
212.00,355.00,146.00,48.00
212.00,334.00,148.00,18.00
209.00,355.00,134.00,25.00
244.00,341.00,132.00,26.00
239.00,328.00,124.00,34.00
239.00,297.00,132.00,39.00
202.00,242.00,134.00,36.00
212.00,297.00,126.00,45.00
202.00,238.00,121.00,39.00
192.00,281.00,136.00,47.00
199.00,303.00,142.00,58.00
192.00,297.00,150.00,52.00
252.00,281.00,136.00,54.00
244.00,270.00,138.00,59.00
227.00,297.00,146.00,70.00
216.00,309.00,136.00,68.00
205.00,292.00,138.00,69.00
227.00,286.00,138.00,72.00
227.00,292.00,134.00,74.00
231.00,281.00,140.00,69.00
276.00,270.00,126.00,69.00
287.00,297.00,134.00,70.00
244.00,292.00,134.00,66.00
227.00,297.00,132.00,62.00
231.00,303.00,136.00,66.00
216.00,297.00,140.00,65.00
216.00,378.00,181.00,92.00
216.00,370.00,153.00,69.00
202.00,378.00,155.00,66.00
205.00,412.00,148.00,59.00
212.00,355.00,153.00,63.00
239.00,363.00,142.00,56.00
223.00,355.00,148.00,59.00
220.00,355.00,146.00,59.00
244.00,370.00,140.00,61.00
266.00,334.00,140.00,53.00
287.00,386.00,138.00,25.00
292.00,363.00,134.00,28.00
276.00,348.00,134.00,31.00
281.00,370.00,130.00,32.00
281.00,378.00,128.00,30.00
271.00,348.00,132.00,36.00
271.00,378.00,128.00,40.00
281.00,370.00,132.00,42.00
261.00,386.00,142.00,52.00
276.00,395.00,146.00,52.00
266.00,378.00,157.00,60.00
281.00,441.00,146.00,63.00
276.00,378.00,150.00,60.00
252.00,412.00,142.00,53.00
248.00,386.00,138.00,53.00
