index,middle,ring,pinky
28.00,256.00,153.00,87.00
28.00,261.00,162.00,84.00
33.00,251.00,146.00,81.00
30.00,234.00,162.00,86.00
30.00,247.00,167.00,79.00
31.00,242.00,148.00,79.00
30.00,238.00,167.00,82.00
30.00,234.00,155.00,82.00
32.00,275.00,165.00,83.00
32.00,261.00,157.00,82.00
31.00,247.00,153.00,86.00
31.00,265.00,165.00,83.00
30.00,281.00,148.00,87.00
32.00,242.00,157.00,88.00
32.00,251.00,157.00,88.00
34.00,275.00,167.00,77.00
31.00,281.00,157.00,86.00
32.00,242.00,160.00,79.00
32.00,251.00,170.00,79.00
34.00,256.00,153.00,87.00
30.00,281.00,165.00,79.00
28.00,261.00,162.00,84.00
32.00,261.00,172.00,79.00
33.00,261.00,160.00,78.00
32.00,275.00,155.00,82.00
30.00,242.00,178.00,81.00
34.00,275.00,170.00,82.00
31.00,256.00,165.00,82.00
32.00,256.00,167.00,83.00
30.00,256.00,165.00,58.00
30.00,281.00,155.00,54.00
32.00,297.00,160.00,60.00
32.00,275.00,155.00,55.00
33.00,281.00,175.00,64.00
28.00,256.00,150.00,58.00
28.00,242.00,160.00,65.00
30.00,261.00,144.00,64.00
28.00,261.00,162.00,64.00
28.00,234.00,165.00,84.00
31.00,242.00,160.00,83.00
27.00,238.00,181.00,97.00
29.00,251.00,157.00,98.00
29.00,229.00,160.00,91.00
26.00,229.00,170.00,97.00
28.00,261.00,178.00,84.00
27.00,247.00,175.00,84.00
28.00,261.00,167.00,87.00
29.00,270.00,162.00,43.00
25.00,297.00,153.00,31.00
26.00,286.00,172.00,36.00
28.00,275.00,157.00,46.00
27.00,315.00,160.00,42.00
28.00,303.00,160.00,44.00
29.00,286.00,165.00,45.00
26.00,309.00,155.00,51.00
30.00,292.00,160.00,44.00
26.00,292.00,157.00,47.00
26.00,292.00,160.00,46.00
26.00,303.00,172.00,44.00
28.00,261.00,160.00,45.00
26.00,303.00,165.00,42.00
26.00,270.00,157.00,35.00
26.00,281.00,160.00,32.00
26.00,281.00,153.00,34.00
29.00,265.00,162.00,39.00
25.00,297.00,157.00,36.00
27.00,309.00,157.00,42.00
26.00,321.00,162.00,40.00
25.00,321.00,162.00,40.00
25.00,261.00,167.00,45.00
26.00,270.00,157.00,46.00
26.00,286.00,165.00,46.00
