index,middle,ring,pinky
0.00,265.00,183.00,128.00
0.00,256.00,189.00,123.00
0.00,265.00,202.00,123.00
0.00,265.00,199.00,127.00
-1.00,265.00,192.00,123.00
0.00,206.00,172.00,116.00
-1.00,210.00,170.00,107.00
0.00,261.00,189.00,91.00
0.00,286.00,189.00,141.00
7.00,334.00,181.00,147.00
23.00,286.00,186.00,150.00
23.00,275.00,183.00,132.00
25.00,261.00,175.00,111.00
28.00,309.00,181.00,116.00
26.00,292.00,181.00,112.00
22.00,281.00,183.00,125.00
25.00,281.00,183.00,125.00
23.00,292.00,172.00,134.00
19.00,286.00,181.00,125.00
16.00,309.00,186.00,107.00
17.00,328.00,175.00,125.00
15.00,328.00,186.00,112.00
7.00,297.00,167.00,117.00
6.00,292.00,175.00,134.00
6.00,292.00,183.00,139.00
8.00,303.00,192.00,152.00
7.00,309.00,181.00,147.00
4.00,297.00,186.00,152.00
5.00,297.00,183.00,150.00
6.00,321.00,181.00,139.00
6.00,328.00,175.00,152.00
5.00,334.00,175.00,143.00
7.00,321.00,170.00,141.00
4.00,309.00,175.00,143.00
4.00,303.00,175.00,132.00
6.00,309.00,199.00,132.00
4.00,309.00,195.00,134.00
4.00,297.00,175.00,147.00
4.00,309.00,181.00,159.00
3.00,303.00,167.00,141.00
2.00,286.00,175.00,157.00
2.00,297.00,160.00,150.00
2.00,270.00,160.00,154.00
2.00,265.00,157.00,139.00
4.00,270.00,170.00,150.00
1.00,265.00,155.00,147.00
4.00,270.00,162.00,136.00
2.00,256.00,175.00,162.00
2.00,261.00,181.00,159.00
2.00,261.00,172.00,128.00
4.00,275.00,178.00,117.00
2.00,261.00,172.00,100.00
3.00,275.00,175.00,98.00
2.00,281.00,172.00,127.00
1.00,265.00,175.00,123.00
2.00,261.00,183.00,109.00
2.00,281.00,183.00,121.00
1.00,281.00,172.00,111.00
2.00,261.00,178.00,112.00
4.00,265.00,172.00,106.00
3.00,281.00,181.00,98.00
2.00,270.00,181.00,125.00
2.00,261.00,186.00,136.00
4.00,297.00,195.00,141.00
2.00,265.00,178.00,130.00
2.00,270.00,178.00,132.00
2.00,270.00,181.00,121.00
2.00,270.00,181.00,125.00
2.00,261.00,181.00,132.00
1.00,270.00,172.00,121.00
0.00,292.00,178.00,121.00
2.00,270.00,199.00,134.00
2.00,281.00,195.00,136.00
1.00,270.00,181.00,136.00
9.00,286.00,181.00,132.00
8.00,315.00,175.00,152.00
4.00,328.00,199.00,125.00
4.00,309.00,181.00,145.00
2.00,341.00,208.00,157.00
2.00,334.00,223.00,157.00
0.00,183.00,205.00,169.00
2.00,192.00,195.00,154.00
1.00,210.00,183.00,132.00
2.00,203.00,186.00,141.00
4.00,217.00,208.00,121.00
3.00,251.00,230.00,134.00
5.00,225.00,195.00,112.00
3.00,229.00,192.00,141.00
2.00,265.00,189.00,152.00
4.00,286.00,199.00,145.00
2.00,242.00,172.00,150.00
0.00,234.00,178.00,121.00
0.00,229.00,181.00,136.00
2.00,251.00,178.00,125.00
1.00,238.00,189.00,139.00
0.00,265.00,186.00,139.00
0.00,265.00,183.00,145.00
0.00,234.00,181.00,147.00
2.00,234.00,183.00,152.00
0.00,234.00,192.00,162.00
1.00,229.00,208.00,143.00
0.00,225.00,192.00,143.00
-1.00,238.00,202.00,143.00
1.00,210.00,192.00,130.00
1.00,196.00,183.00,145.00
0.00,214.00,186.00,128.00
1.00,214.00,181.00,141.00
0.00,214.00,195.00,134.00
0.00,189.00,189.00,141.00
0.00,315.00,202.00,139.00
0.00,303.00,205.00,150.00
0.00,275.00,192.00,152.00
0.00,303.00,202.00,143.00
1.00,303.00,186.00,145.00
0.00,281.00,195.00,147.00
0.00,281.00,199.00,141.00
2.00,286.00,195.00,147.00
0.00,303.00,189.00,145.00
0.00,265.00,192.00,145.00
1.00,297.00,199.00,145.00
0.00,270.00,192.00,128.00
0.00,292.00,183.00,123.00
0.00,265.00,183.00,127.00
2.00,275.00,189.00,145.00
0.00,309.00,189.00,150.00
2.00,286.00,192.00,154.00
29.00,303.00,186.00,141.00
34.00,275.00,192.00,147.00
26.00,292.00,199.00,139.00
26.00,309.00,192.00,130.00
23.00,281.00,208.00,136.00
22.00,281.00,208.00,139.00
12.00,309.00,195.00,150.00
12.00,286.00,195.00,141.00
10.00,303.00,202.00,141.00
11.00,303.00,199.00,132.00
10.00,281.00,199.00,139.00
12.00,315.00,202.00,141.00
11.00,297.00,186.00,143.00
12.00,321.00,183.00,150.00
12.00,286.00,199.00,141.00
13.00,303.00,192.00,147.00
12.00,286.00,192.00,147.00
11.00,297.00,186.00,141.00
10.00,286.00,186.00,145.00
11.00,297.00,192.00,141.00
11.00,286.00,189.00,152.00
12.00,297.00,186.00,141.00
10.00,292.00,192.00,143.00
11.00,292.00,183.00,145.00
11.00,270.00,183.00,139.00
10.00,292.00,189.00,145.00
12.00,286.00,181.00,159.00
10.00,270.00,189.00,162.00
12.00,265.00,181.00,162.00
11.00,281.00,175.00,164.00
