index,middle,ring,pinky
17.00,42.00,27.00,28.00
17.00,42.00,25.00,35.00
18.00,43.00,25.00,33.00
18.00,44.00,25.00,34.00
18.00,41.00,25.00,35.00
17.00,46.00,25.00,30.00
18.00,44.00,25.00,28.00
18.00,43.00,24.00,32.00
17.00,39.00,25.00,32.00
20.00,43.00,24.00,30.00
18.00,46.00,25.00,34.00
18.00,39.00,23.00,31.00
19.00,41.00,23.00,28.00
18.00,42.00,24.00,36.00
18.00,43.00,26.00,34.00
20.00,44.00,23.00,30.00
17.00,41.00,24.00,31.00
20.00,48.00,23.00,32.00
19.00,43.00,26.00,35.00
18.00,39.00,25.00,30.00
16.00,40.00,23.00,33.00
18.00,43.00,26.00,30.00
17.00,42.00,23.00,32.00
19.00,43.00,24.00,36.00
18.00,43.00,27.00,34.00
20.00,45.00,24.00,28.00
22.00,45.00,24.00,28.00
19.00,43.00,26.00,35.00
20.00,48.00,25.00,30.00
17.00,41.00,25.00,30.00
19.00,43.00,25.00,32.00
18.00,43.00,24.00,33.00
19.00,43.00,24.00,28.00
19.00,42.00,23.00,30.00
17.00,44.00,25.00,28.00
20.00,47.00,24.00,32.00
21.00,51.00,23.00,30.00
17.00,47.00,23.00,28.00
18.00,45.00,26.00,31.00
19.00,46.00,25.00,31.00
18.00,46.00,24.00,36.00
18.00,42.00,23.00,30.00
19.00,45.00,23.00,36.00
20.00,45.00,23.00,36.00
18.00,40.00,23.00,34.00
19.00,43.00,26.00,31.00
20.00,43.00,24.00,35.00
19.00,47.00,23.00,34.00
17.00,44.00,25.00,37.00
20.00,47.00,22.00,32.00
23.00,46.00,23.00,27.00
19.00,48.00,25.00,36.00
19.00,48.00,23.00,34.00
18.00,48.00,23.00,34.00
21.00,46.00,25.00,32.00
20.00,40.00,23.00,34.00
20.00,42.00,23.00,32.00
17.00,46.00,24.00,34.00
21.00,43.00,24.00,34.00
21.00,47.00,23.00,35.00
19.00,51.00,24.00,36.00
20.00,42.00,26.00,34.00
20.00,41.00,25.00,36.00
19.00,43.00,26.00,39.00
22.00,45.00,23.00,36.00
19.00,44.00,23.00,32.00
20.00,45.00,25.00,36.00
23.00,48.00,23.00,32.00
20.00,39.00,22.00,35.00
24.00,42.00,24.00,36.00
24.00,45.00,25.00,33.00
22.00,46.00,26.00,32.00
24.00,45.00,23.00,34.00
23.00,42.00,26.00,31.00
22.00,43.00,22.00,34.00
22.00,45.00,23.00,33.00
23.00,47.00,26.00,32.00
21.00,48.00,24.00,33.00
23.00,45.00,25.00,33.00
24.00,43.00,26.00,34.00
22.00,41.00,25.00,32.00
21.00,41.00,23.00,32.00
20.00,43.00,23.00,34.00
21.00,44.00,22.00,34.00
23.00,45.00,23.00,33.00
22.00,44.00,25.00,35.00
23.00,43.00,23.00,34.00
23.00,46.00,22.00,32.00
22.00,41.00,23.00,33.00
23.00,43.00,26.00,36.00
21.00,45.00,28.00,36.00
25.00,49.00,28.00,35.00
23.00,50.00,25.00,39.00
22.00,47.00,25.00,34.00
23.00,44.00,25.00,30.00
22.00,37.00,20.00,40.00
16.00,32.00,18.00,33.00
16.00,32.00,19.00,33.00
15.00,31.00,18.00,31.00
11.00,20.00,15.00,28.00
8.00,18.00,15.00,29.00
6.00,22.00,15.00,31.00
9.00,19.00,9.00,30.00
9.00,20.00,13.00,30.00
6.00,21.00,14.00,29.00
9.00,21.00,14.00,28.00
7.00,22.00,13.00,28.00
8.00,16.00,13.00,29.00
7.00,18.00,15.00,28.00
9.00,20.00,14.00,30.00
8.00,21.00,15.00,30.00
8.00,19.00,15.00,30.00
8.00,20.00,13.00,28.00
6.00,21.00,14.00,28.00
10.00,20.00,14.00,30.00
10.00,20.00,13.00,29.00
7.00,20.00,14.00,31.00
8.00,20.00,13.00,30.00
8.00,20.00,14.00,28.00
8.00,20.00,13.00,30.00
8.00,16.00,13.00,27.00
7.00,21.00,13.00,30.00
9.00,20.00,14.00,28.00
8.00,23.00,12.00,31.00
