index,middle,ring,pinky
0.67,0.16,0.26,0.27
0.66,0.16,0.26,0.28
0.67,0.16,0.25,0.27
0.66,0.15,0.26,0.28
0.67,0.16,0.26,0.28
0.67,0.16,0.26,0.27
0.66,0.15,0.26,0.27
0.67,0.16,0.26,0.27
0.66,0.15,0.25,0.26
0.66,0.16,0.25,0.25
0.67,0.16,0.23,0.25
0.65,0.17,0.25,0.24
0.65,0.17,0.25,0.25
0.65,0.16,0.25,0.24
0.64,0.17,0.25,0.23
0.58,0.17,0.25,0.23
0.60,0.17,0.27,0.22
0.63,0.17,0.27,0.21
0.64,0.17,0.25,0.21
0.64,0.17,0.25,0.22
0.64,0.16,0.25,0.23
0.64,0.17,0.25,0.23
0.63,0.16,0.25,0.22
0.65,0.16,0.26,0.25
0.64,0.17,0.26,0.24
0.63,0.16,0.27,0.25
0.63,0.17,0.26,0.24
0.65,0.16,0.27,0.25
0.64,0.16,0.26,0.24
0.64,0.17,0.26,0.25
0.64,0.17,0.26,0.26
0.64,0.16,0.26,0.25
0.67,0.17,0.26,0.25
0.68,0.16,0.27,0.25
0.69,0.17,0.27,0.25
0.68,0.17,0.26,0.24
0.71,0.16,0.25,0.25
0.70,0.17,0.27,0.24
0.70,0.15,0.26,0.24
0.71,0.16,0.26,0.25
0.71,0.16,0.27,0.25
0.71,0.16,0.27,0.26
0.71,0.17,0.25,0.25
0.72,0.16,0.26,0.25
0.71,0.16,0.25,0.24
0.72,0.16,0.25,0.25
0.71,0.16,0.25,0.24
0.72,0.16,0.25,0.25
0.71,0.16,0.25,0.24
0.70,0.15,0.25,0.25
0.71,0.16,0.25,0.24
0.71,0.16,0.25,0.24
0.71,0.16,0.26,0.24
0.71,0.17,0.26,0.24
0.70,0.16,0.26,0.24
0.71,0.16,0.25,0.24
0.69,0.15,0.26,0.25
0.69,0.15,0.25,0.25
0.71,0.16,0.26,0.24
0.69,0.16,0.25,0.25
0.70,0.16,0.25,0.24
0.69,0.15,0.26,0.25
0.70,0.17,0.25,0.24
0.69,0.16,0.26,0.24
0.70,0.16,0.26,0.24
0.70,0.17,0.25,0.24
0.70,0.15,0.25,0.25
0.70,0.16,0.25,0.24
0.70,0.15,0.26,0.25
0.70,0.16,0.24,0.24
0.69,0.16,0.26,0.25
0.70,0.16,0.26,0.25
0.69,0.16,0.26,0.26
0.70,0.16,0.26,0.25
0.69,0.15,0.26,0.25
0.69,0.16,0.26,0.25
0.71,0.17,0.26,0.25
0.71,0.15,0.26,0.25
0.72,0.16,0.25,0.25
0.72,0.16,0.27,0.25
0.71,0.16,0.27,0.26
0.74,0.16,0.26,0.26
0.73,0.16,0.27,0.25
0.74,0.16,0.27,0.25
0.73,0.16,0.26,0.25
0.72,0.15,0.26,0.25
0.74,0.16,0.26,0.23
0.72,0.15,0.26,0.25
0.73,0.16,0.25,0.24
0.72,0.15,0.26,0.24
0.73,0.16,0.25,0.23
0.71,0.15,0.25,0.25
0.73,0.16,0.25,0.22
0.72,0.15,0.24,0.22
0.72,0.15,0.24,0.24
0.72,0.16,0.25,0.24
0.73,0.16,0.24,0.24
0.74,0.16,0.24,0.25
0.73,0.15,0.26,0.26
0.73,0.16,0.25,0.27
0.73,0.17,0.23,0.26
0.73,0.15,0.25,0.26
0.74,0.16,0.25,0.26
0.74,0.17,0.25,0.27
0.72,0.15,0.25,0.27
0.74,0.18,0.25,0.27
0.74,0.17,0.25,0.26
0.72,0.17,0.25,0.28
0.73,0.15,0.26,0.27
0.73,0.16,0.25,0.27
0.73,0.16,0.25,0.27
0.70,0.15,0.25,0.26
0.71,0.15,0.25,0.26
0.72,0.16,0.25,0.27
0.71,0.16,0.25,0.26
0.72,0.16,0.25,0.25
0.72,0.16,0.25,0.27
0.72,0.16,0.25,0.26
0.72,0.16,0.25,0.27
0.71,0.16,0.25,0.27
0.70,0.15,0.25,0.27
0.71,0.17,0.24,0.27
0.71,0.16,0.26,0.26
0.72,0.17,0.25,0.26
0.72,0.17,0.25,0.27
0.71,0.16,0.26,0.26
0.71,0.16,0.26,0.26
0.72,0.16,0.25,0.27
0.71,0.16,0.26,0.28
0.71,0.17,0.25,0.27
0.71,0.18,0.25,0.27
0.71,0.17,0.26,0.27
0.71,0.16,0.25,0.27
0.71,0.17,0.25,0.27
0.71,0.16,0.26,0.27
0.71,0.17,0.25,0.27
0.72,0.16,0.25,0.26
0.71,0.16,0.25,0.27
0.72,0.16,0.25,0.26
0.71,0.16,0.26,0.27
0.70,0.16,0.25,0.27
0.71,0.16,0.25,0.26
0.71,0.17,0.25,0.27
0.71,0.17,0.25,0.27
0.70,0.16,0.26,0.28
0.70,0.16,0.25,0.28
0.70,0.17,0.25,0.27
0.72,0.17,0.25,0.27
0.71,0.17,0.26,0.26
0.71,0.17,0.25,0.28
0.71,0.16,0.26,0.26
0.71,0.17,0.25,0.27
0.70,0.16,0.25,0.27
0.70,0.16,0.26,0.27
0.71,0.17,0.25,0.27
0.71,0.16,0.26,0.26
0.70,0.16,0.25,0.28
0.70,0.17,0.26,0.27
0.70,0.17,0.25,0.27
0.71,0.17,0.26,0.27
0.71,0.17,0.25,0.27
0.71,0.16,0.26,0.28
0.71,0.17,0.26,0.26
0.71,0.17,0.26,0.27
0.71,0.17,0.26,0.27
0.71,0.17,0.25,0.27
0.71,0.17,0.26,0.26
0.71,0.17,0.25,0.27
0.70,0.16,0.25,0.28
0.71,0.16,0.26,0.27
0.71,0.17,0.26,0.28
0.72,0.16,0.26,0.28
0.71,0.17,0.26,0.27
0.72,0.16,0.26,0.27
0.71,0.17,0.26,0.27
0.71,0.16,0.26,0.28
0.72,0.16,0.26,0.27
0.72,0.17,0.27,0.27
0.72,0.17,0.26,0.26
0.72,0.17,0.26,0.27
0.72,0.16,0.26,0.28
0.72,0.16,0.26,0.28
0.72,0.17,0.26,0.28
0.72,0.17,0.26,0.28
0.72,0.17,0.26,0.26
0.72,0.17,0.26,0.26
0.72,0.16,0.26,0.27
0.73,0.17,0.26,0.27
0.72,0.17,0.26,0.27
0.73,0.16,0.26,0.28
0.71,0.17,0.26,0.28
0.72,0.17,0.26,0.28
0.71,0.16,0.26,0.27
0.71,0.15,0.27,0.29
0.71,0.17,0.26,0.28
0.72,0.16,0.26,0.27
0.72,0.17,0.27,0.27
0.72,0.16,0.26,0.28
0.71,0.17,0.26,0.27
0.70,0.17,0.26,0.29
0.72,0.17,0.26,0.28
0.71,0.17,0.26,0.27
0.71,0.17,0.26,0.28
0.72,0.17,0.27,0.27
0.72,0.17,0.25,0.27
0.72,0.17,0.26,0.28
0.72,0.17,0.26,0.27
0.70,0.15,0.26,0.28
0.72,0.17,0.25,0.27
0.70,0.16,0.25,0.28
0.70,0.17,0.26,0.28
0.70,0.18,0.25,0.28
0.70,0.17,0.26,0.28
0.70,0.17,0.26,0.27
0.70,0.17,0.26,0.27
0.71,0.16,0.26,0.27
0.71,0.17,0.26,0.28
0.71,0.17,0.26,0.28
0.70,0.17,0.25,0.28
0.70,0.17,0.26,0.28
0.70,0.17,0.26,0.27
0.69,0.17,0.26,0.27
0.70,0.17,0.27,0.27
0.70,0.16,0.25,0.28
0.71,0.17,0.26,0.28
0.70,0.17,0.26,0.28
0.70,0.17,0.25,0.28
0.69,0.16,0.27,0.28
0.70,0.16,0.27,0.28
0.69,0.16,0.26,0.28
0.69,0.17,0.26,0.29
0.71,0.17,0.25,0.28
0.69,0.16,0.26,0.28
0.71,0.17,0.27,0.29
0.70,0.17,0.26,0.29
0.69,0.17,0.26,0.29
0.70,0.16,0.27,0.29
0.71,0.17,0.26,0.28
0.70,0.17,0.26,0.28
0.70,0.17,0.25,0.27
0.71,0.17,0.26,0.28
0.70,0.17,0.26,0.28
0.70,0.16,0.26,0.29
0.71,0.17,0.27,0.27
0.69,0.17,0.26,0.27
0.70,0.17,0.27,0.27
0.70,0.17,0.26,0.28
0.71,0.17,0.26,0.28
0.69,0.16,0.26,0.28
0.70,0.16,0.27,0.28
0.70,0.16,0.26,0.28
0.71,0.17,0.26,0.28
0.69,0.17,0.26,0.29
0.70,0.17,0.26,0.28
0.71,0.17,0.26,0.28
0.71,0.17,0.26,0.28
0.70,0.16,0.26,0.28
0.70,0.17,0.27,0.28
0.70,0.17,0.26,0.27
0.69,0.16,0.26,0.27
0.70,0.17,0.25,0.28
0.70,0.17,0.26,0.28
0.70,0.15,0.26,0.28
0.69,0.16,0.26,0.28
0.71,0.16,0.26,0.28
0.72,0.18,0.26,0.28
0.71,0.17,0.27,0.27
0.71,0.16,0.27,0.28
0.70,0.16,0.26,0.28
0.69,0.17,0.27,0.29
0.71,0.17,0.26,0.28
0.69,0.16,0.26,0.29
0.70,0.17,0.27,0.28
0.71,0.17,0.26,0.28
0.69,0.16,0.26,0.29
0.70,0.17,0.25,0.28
0.69,0.16,0.27,0.29
0.71,0.17,0.27,0.28
0.70,0.17,0.26,0.27
0.70,0.17,0.27,0.27
0.69,0.17,0.26,0.28
0.70,0.17,0.26,0.29
0.70,0.18,0.25,0.28
0.70,0.18,0.25,0.28
0.69,0.17,0.26,0.28
0.70,0.17,0.26,0.28
0.70,0.17,0.27,0.27
0.70,0.17,0.25,0.27
0.70,0.17,0.27,0.27
0.70,0.17,0.25,0.28
0.71,0.17,0.27,0.27
0.71,0.17,0.27,0.28
0.71,0.17,0.27,0.27
0.71,0.17,0.26,0.28
0.71,0.17,0.27,0.28
0.69,0.17,0.26,0.29
0.70,0.17,0.26,0.28
0.70,0.17,0.26,0.28
0.71,0.17,0.27,0.28
0.71,0.17,0.27,0.29
0.70,0.17,0.26,0.28
0.70,0.17,0.26,0.29
0.71,0.17,0.26,0.28
0.71,0.17,0.27,0.27
0.70,0.17,0.25,0.28
0.70,0.16,0.27,0.26
0.69,0.17,0.26,0.28
0.70,0.17,0.27,0.27
0.70,0.17,0.27,0.27
0.69,0.16,0.26,0.28
0.69,0.17,0.27,0.27
0.69,0.16,0.27,0.28
0.71,0.18,0.26,0.28
0.69,0.16,0.26,0.28
