index,middle,ring,pinky
0.31,0.22,0.31,0.67
0.30,0.23,0.30,0.73
0.30,0.23,0.30,0.74
0.30,0.23,0.30,0.75
0.30,0.21,0.31,0.75
0.31,0.22,0.30,0.73
0.29,0.22,0.31,0.70
0.31,0.22,0.29,0.71
0.30,0.23,0.30,0.70
0.30,0.22,0.31,0.67
0.31,0.23,0.31,0.68
0.29,0.22,0.32,0.69
0.31,0.22,0.30,0.68
0.30,0.22,0.32,0.68
0.31,0.22,0.31,0.64
0.31,0.23,0.32,0.64
0.31,0.23,0.32,0.65
0.31,0.23,0.31,0.66
0.31,0.23,0.33,0.63
0.32,0.24,0.34,0.63
0.32,0.23,0.31,0.62
0.31,0.22,0.32,0.63
0.32,0.23,0.33,0.62
0.32,0.24,0.32,0.63
0.32,0.22,0.33,0.62
0.32,0.24,0.33,0.63
0.32,0.23,0.33,0.62
0.32,0.24,0.33,0.61
0.32,0.24,0.33,0.62
0.31,0.23,0.33,0.62
0.32,0.23,0.33,0.61
0.32,0.23,0.33,0.62
0.31,0.23,0.32,0.62
0.32,0.24,0.33,0.63
0.32,0.24,0.32,0.62
0.31,0.23,0.32,0.61
0.31,0.23,0.33,0.59
0.30,0.22,0.32,0.57
0.31,0.21,0.31,0.54
0.32,0.22,0.31,0.52
0.32,0.22,0.30,0.52
0.31,0.22,0.30,0.51
0.32,0.22,0.30,0.50
0.33,0.23,0.29,0.48
0.35,0.23,0.29,0.48
0.36,0.24,0.29,0.51
0.36,0.23,0.29,0.52
0.37,0.23,0.29,0.55
0.38,0.24,0.30,0.54
0.38,0.24,0.30,0.53
0.39,0.24,0.29,0.55
0.39,0.25,0.30,0.55
0.39,0.23,0.30,0.54
0.41,0.23,0.30,0.53
0.40,0.22,0.30,0.53
0.43,0.22,0.29,0.51
0.43,0.21,0.31,0.49
0.43,0.22,0.30,0.49
0.42,0.23,0.30,0.49
0.40,0.22,0.32,0.49
0.42,0.23,0.33,0.47
0.41,0.25,0.31,0.49
0.40,0.26,0.30,0.49
0.41,0.26,0.30,0.46
0.42,0.27,0.30,0.45
0.42,0.28,0.30,0.46
0.41,0.26,0.30,0.45
0.42,0.26,0.29,0.44
0.41,0.25,0.30,0.44
0.37,0.24,0.30,0.44
0.39,0.25,0.29,0.44
0.39,0.25,0.29,0.44
0.38,0.25,0.30,0.45
0.38,0.25,0.31,0.45
0.38,0.25,0.31,0.45
0.38,0.26,0.30,0.45
0.38,0.26,0.30,0.46
0.38,0.25,0.32,0.46
0.38,0.24,0.31,0.45
0.38,0.24,0.31,0.47
0.38,0.23,0.31,0.46
0.39,0.23,0.31,0.50
0.38,0.22,0.30,0.60
0.36,0.24,0.29,0.73
0.36,0.24,0.29,0.78
0.35,0.22,0.29,0.78
0.34,0.22,0.30,0.70
0.32,0.21,0.29,0.69
0.35,0.21,0.30,0.65
0.35,0.21,0.30,0.60
0.36,0.21,0.30,0.57
0.35,0.21,0.30,0.56
0.35,0.21,0.30,0.56
0.34,0.21,0.32,0.53
0.33,0.20,0.31,0.52
0.34,0.21,0.31,0.51
0.36,0.21,0.31,0.51
0.38,0.21,0.30,0.50
0.38,0.20,0.31,0.50
0.41,0.20,0.30,0.47
0.42,0.20,0.30,0.48
0.41,0.20,0.30,0.48
0.41,0.20,0.30,0.50
0.38,0.20,0.29,0.54
0.38,0.20,0.30,0.59
0.38,0.21,0.30,0.58
0.38,0.21,0.30,0.54
0.38,0.21,0.30,0.54
0.35,0.22,0.29,0.51
0.35,0.20,0.31,0.50
0.37,0.22,0.31,0.52
0.37,0.21,0.31,0.52
0.37,0.21,0.30,0.52
0.37,0.22,0.30,0.52
0.37,0.21,0.30,0.53
0.36,0.21,0.29,0.52
0.37,0.22,0.30,0.52
0.37,0.22,0.30,0.49
0.36,0.20,0.29,0.46
0.37,0.20,0.29,0.47
0.38,0.21,0.30,0.46
0.39,0.21,0.30,0.46
0.42,0.22,0.28,0.46
0.44,0.22,0.28,0.45
0.43,0.23,0.28,0.45
0.42,0.21,0.29,0.44
0.40,0.21,0.28,0.45
0.38,0.21,0.28,0.43
0.39,0.21,0.28,0.43
0.38,0.20,0.28,0.44
0.40,0.21,0.28,0.44
0.39,0.19,0.29,0.43
0.39,0.19,0.29,0.44
0.40,0.20,0.29,0.43
