index,middle,ring,pinky
0.29,0.19,0.31,0.33
0.29,0.18,0.32,0.34
0.30,0.18,0.31,0.32
0.30,0.18,0.32,0.35
0.29,0.17,0.31,0.33
0.30,0.18,0.32,0.34
0.29,0.17,0.32,0.34
0.30,0.18,0.32,0.33
0.30,0.18,0.32,0.34
0.30,0.18,0.31,0.34
0.29,0.18,0.31,0.34
0.29,0.17,0.32,0.34
0.30,0.17,0.31,0.34
0.29,0.17,0.32,0.33
0.29,0.17,0.32,0.34
0.30,0.18,0.32,0.33
0.30,0.18,0.32,0.34
0.30,0.18,0.31,0.34
0.30,0.18,0.32,0.35
0.29,0.17,0.31,0.35
0.31,0.19,0.32,0.35
0.30,0.18,0.31,0.36
0.30,0.18,0.31,0.34
0.29,0.17,0.32,0.34
0.30,0.18,0.31,0.34
0.30,0.18,0.33,0.33
0.31,0.19,0.31,0.34
0.31,0.18,0.33,0.33
0.29,0.18,0.33,0.34
0.30,0.18,0.33,0.35
0.30,0.18,0.33,0.33
0.31,0.18,0.33,0.34
0.30,0.18,0.33,0.34
0.29,0.18,0.33,0.34
0.31,0.19,0.30,0.32
0.30,0.19,0.30,0.33
0.32,0.18,0.30,0.32
0.31,0.18,0.31,0.33
0.31,0.18,0.32,0.32
0.30,0.18,0.32,0.34
0.29,0.19,0.33,0.34
0.31,0.19,0.33,0.34
0.31,0.18,0.33,0.34
0.30,0.18,0.32,0.34
0.30,0.19,0.33,0.35
0.30,0.19,0.33,0.33
0.28,0.18,0.33,0.34
0.30,0.18,0.33,0.33
0.29,0.18,0.32,0.33
0.30,0.19,0.32,0.33
0.29,0.18,0.33,0.33
0.31,0.19,0.32,0.32
0.31,0.19,0.33,0.30
0.29,0.18,0.33,0.33
0.31,0.19,0.33,0.33
0.30,0.18,0.33,0.33
0.31,0.19,0.33,0.33
0.32,0.19,0.32,0.33
0.32,0.19,0.31,0.33
0.32,0.18,0.31,0.33
0.32,0.19,0.31,0.34
0.31,0.19,0.29,0.34
0.32,0.19,0.29,0.33
0.31,0.19,0.28,0.33
0.31,0.19,0.29,0.33
0.31,0.19,0.30,0.32
0.32,0.19,0.31,0.33
0.32,0.19,0.31,0.34
0.31,0.18,0.32,0.34
0.32,0.18,0.33,0.34
0.31,0.19,0.34,0.34
0.32,0.19,0.33,0.32
0.31,0.19,0.33,0.32
0.32,0.20,0.33,0.32
0.32,0.19,0.33,0.32
0.32,0.19,0.33,0.33
0.33,0.19,0.33,0.33
0.32,0.18,0.33,0.33
0.33,0.20,0.32,0.33
0.33,0.19,0.32,0.34
0.33,0.20,0.32,0.33
0.32,0.19,0.31,0.33
0.31,0.18,0.31,0.33
0.33,0.19,0.31,0.34
0.33,0.20,0.32,0.34
0.33,0.18,0.32,0.34
0.33,0.20,0.33,0.35
0.33,0.20,0.33,0.35
0.32,0.18,0.33,0.34
0.32,0.19,0.33,0.34
0.32,0.18,0.32,0.33
0.33,0.18,0.33,0.33
0.33,0.19,0.33,0.33
0.30,0.19,0.32,0.34
0.31,0.19,0.33,0.33
