index,middle,ring,pinky
0.27,0.24,0.27,0.72
0.27,0.25,0.27,0.72
0.27,0.25,0.26,0.71
0.26,0.25,0.27,0.71
0.28,0.25,0.27,0.71
0.28,0.25,0.26,0.73
0.27,0.25,0.27,0.74
0.27,0.24,0.27,0.75
0.27,0.25,0.27,0.74
0.26,0.25,0.27,0.72
0.26,0.25,0.26,0.71
0.26,0.25,0.27,0.69
0.26,0.25,0.27,0.68
0.25,0.26,0.26,0.66
0.26,0.26,0.26,0.66
0.26,0.26,0.27,0.67
0.26,0.27,0.00,0.66
0.25,0.29,0.00,0.66
0.27,0.30,0.00,0.66
0.27,0.30,0.01,0.65
0.26,0.29,0.00,0.63
0.25,0.28,0.27,0.62
0.26,0.26,0.01,0.63
0.26,0.28,0.00,0.65
0.26,0.00,0.27,0.66
0.26,0.28,0.27,0.65
0.25,0.26,0.27,0.65
0.25,0.26,0.28,0.65
0.24,0.26,0.28,0.65
0.24,0.26,0.28,0.65
0.25,0.00,0.28,0.63
0.25,0.11,0.30,0.63
0.25,0.21,0.29,0.62
0.24,0.26,0.28,0.63
0.25,0.24,0.28,0.63
0.25,0.24,0.28,0.64
0.26,0.23,0.29,0.65
0.25,0.23,0.28,0.65
0.25,0.23,0.28,0.64
0.24,0.23,0.28,0.64
0.26,0.24,0.28,0.65
0.25,0.24,0.29,0.64
0.25,0.24,0.29,0.63
0.26,0.24,0.28,0.64
0.26,0.24,0.30,0.62
0.25,0.24,0.29,0.62
0.26,0.24,0.29,0.63
0.25,0.24,0.29,0.63
0.26,0.24,0.28,0.63
0.26,0.24,0.29,0.63
0.25,0.24,0.29,0.62
0.25,0.24,0.28,0.63
0.25,0.23,0.29,0.62
0.26,0.24,0.29,0.62
0.26,0.24,0.28,0.63
0.25,0.24,0.28,0.63
0.25,0.24,0.29,0.64
0.26,0.25,0.29,0.62
0.26,0.24,0.28,0.62
0.25,0.25,0.29,0.62
0.25,0.24,0.29,0.63
0.25,0.24,0.29,0.63
0.25,0.23,0.29,0.64
0.26,0.25,0.28,0.64
0.25,0.24,0.29,0.64
0.26,0.24,0.28,0.63
0.26,0.24,0.30,0.63
0.26,0.24,0.29,0.62
0.26,0.25,0.28,0.62
0.26,0.24,0.28,0.62
0.26,0.24,0.29,0.62
0.26,0.25,0.29,0.61
0.26,0.24,0.29,0.61
0.25,0.24,0.29,0.63
0.25,0.24,0.29,0.62
0.26,0.24,0.28,0.62
0.26,0.24,0.27,0.65
0.26,0.24,0.26,0.70
0.25,0.23,0.26,0.75
0.26,0.23,0.26,0.76
0.25,0.23,0.26,0.76
0.26,0.24,0.26,0.76
0.25,0.24,0.26,0.77
0.26,0.23,0.26,0.77
0.27,0.24,0.27,0.76
0.25,0.24,0.26,0.75
0.25,0.26,0.26,0.74
0.26,0.26,0.26,0.74
0.24,0.26,0.26,0.73
