index,middle,ring,pinky
0.27,0.20,0.30,0.67
0.28,0.21,0.29,0.67
0.28,0.21,0.30,0.66
0.28,0.20,0.29,0.67
0.29,0.20,0.29,0.68
0.28,0.20,0.30,0.69
0.28,0.20,0.29,0.68
0.28,0.20,0.30,0.68
0.29,0.20,0.30,0.68
0.29,0.21,0.29,0.68
0.29,0.20,0.30,0.73
0.29,0.21,0.29,0.77
0.29,0.20,0.30,0.78
0.28,0.20,0.30,0.79
0.28,0.21,0.31,0.79
0.29,0.20,0.29,0.79
0.28,0.20,0.29,0.78
0.28,0.20,0.29,0.78
0.29,0.23,0.29,0.79
0.29,0.20,0.30,0.77
0.28,0.21,0.29,0.77
0.28,0.20,0.30,0.77
0.29,0.21,0.30,0.78
0.27,0.21,0.30,0.76
0.28,0.19,0.30,0.76
0.28,0.20,0.29,0.76
0.28,0.20,0.30,0.76
0.28,0.20,0.29,0.75
0.28,0.20,0.29,0.75
0.28,0.21,0.30,0.75
0.28,0.21,0.30,0.75
0.28,0.20,0.30,0.75
0.28,0.21,0.30,0.75
0.29,0.21,0.30,0.75
0.28,0.19,0.31,0.74
0.29,0.20,0.29,0.75
0.28,0.20,0.30,0.75
0.29,0.20,0.30,0.75
0.29,0.21,0.29,0.75
0.28,0.20,0.30,0.74
0.29,0.20,0.29,0.75
0.28,0.19,0.30,0.75
0.28,0.20,0.30,0.75
0.29,0.21,0.29,0.75
0.28,0.20,0.29,0.75
0.29,0.21,0.30,0.74
0.29,0.20,0.30,0.75
0.29,0.20,0.30,0.75
0.28,0.21,0.30,0.74
0.28,0.21,0.30,0.75
0.28,0.21,0.30,0.74
0.28,0.19,0.30,0.74
0.29,0.21,0.30,0.74
0.29,0.21,0.29,0.73
0.28,0.21,0.30,0.74
0.28,0.21,0.30,0.74
0.28,0.21,0.30,0.73
0.28,0.21,0.29,0.73
0.28,0.20,0.30,0.73
0.28,0.21,0.30,0.73
0.28,0.20,0.30,0.72
0.28,0.21,0.30,0.72
0.29,0.21,0.30,0.73
0.28,0.21,0.29,0.73
0.28,0.21,0.30,0.74
0.27,0.19,0.30,0.73
0.29,0.21,0.30,0.71
0.29,0.21,0.30,0.73
0.29,0.21,0.30,0.72
0.28,0.21,0.29,0.73
0.27,0.21,0.30,0.74
0.28,0.21,0.30,0.73
0.28,0.21,0.29,0.73
0.28,0.21,0.30,0.74
0.28,0.21,0.30,0.71
0.28,0.21,0.31,0.72
0.28,0.21,0.30,0.73
0.29,0.20,0.30,0.74
0.28,0.22,0.30,0.73
0.29,0.21,0.30,0.73
0.28,0.21,0.30,0.74
0.30,0.20,0.30,0.73
0.29,0.21,0.30,0.74
0.29,0.22,0.29,0.75
0.29,0.21,0.29,0.74
0.28,0.21,0.30,0.75
0.27,0.21,0.29,0.75
0.28,0.20,0.30,0.77
0.28,0.21,0.29,0.81
0.29,0.21,0.29,0.82
0.28,0.20,0.29,0.82
0.28,0.22,0.31,0.81
0.28,0.21,0.29,0.80
0.25,0.21,0.30,0.80
0.27,0.21,0.29,0.80
0.25,0.21,0.30,0.80
0.25,0.21,0.30,0.80
0.26,0.21,0.29,0.80
0.26,0.21,0.30,0.80
0.28,0.21,0.30,0.80
0.28,0.21,0.28,0.76
0.28,0.21,0.30,0.73
0.27,0.19,0.29,0.74
0.27,0.20,0.30,0.71
0.29,0.21,0.28,0.72
0.29,0.21,0.30,0.73
0.29,0.21,0.29,0.75
0.29,0.22,0.29,0.75
0.29,0.22,0.29,0.74
0.28,0.21,0.29,0.71
0.27,0.20,0.29,0.71
0.27,0.20,0.28,0.73
0.27,0.20,0.29,0.73
0.28,0.20,0.28,0.72
0.27,0.20,0.29,0.73
0.28,0.21,0.30,0.73
0.27,0.20,0.29,0.73
0.28,0.21,0.29,0.73
0.27,0.21,0.30,0.73
0.28,0.21,0.30,0.72
0.26,0.19,0.29,0.73
0.28,0.20,0.29,0.72
0.28,0.22,0.29,0.71
0.27,0.21,0.29,0.71
0.28,0.21,0.30,0.72
0.28,0.21,0.28,0.72
0.27,0.21,0.29,0.71
0.26,0.21,0.30,0.71
0.27,0.21,0.29,0.72
0.26,0.19,0.29,0.71
0.28,0.21,0.29,0.72
0.28,0.21,0.29,0.72
0.28,0.21,0.29,0.71
0.28,0.22,0.31,0.71
0.27,0.21,0.29,0.71
0.28,0.21,0.30,0.72
0.27,0.20,0.30,0.71
0.28,0.21,0.28,0.71
0.27,0.21,0.30,0.70
0.28,0.22,0.30,0.70
0.27,0.20,0.29,0.71
0.27,0.22,0.28,0.70
0.28,0.21,0.30,0.71
0.27,0.22,0.30,0.71
0.27,0.20,0.29,0.71
0.28,0.21,0.29,0.70
0.29,0.21,0.28,0.69
0.28,0.22,0.28,0.69
0.28,0.21,0.29,0.70
0.28,0.21,0.30,0.70
0.28,0.20,0.29,0.70
0.28,0.20,0.29,0.70
0.27,0.21,0.29,0.71
0.27,0.20,0.30,0.71
0.28,0.21,0.29,0.71
0.28,0.21,0.29,0.71
0.28,0.21,0.29,0.70
0.28,0.21,0.30,0.71
0.28,0.22,0.30,0.71
0.27,0.20,0.30,0.70
0.27,0.20,0.30,0.70
0.28,0.22,0.29,0.70
0.28,0.21,0.29,0.71
0.28,0.21,0.30,0.70
0.27,0.20,0.30,0.71
0.28,0.21,0.29,0.70
0.28,0.21,0.29,0.70
0.27,0.21,0.30,0.70
0.28,0.22,0.29,0.73
0.27,0.21,0.30,0.74
0.28,0.21,0.29,0.75
0.29,0.21,0.29,0.74
0.28,0.22,0.30,0.73
0.27,0.20,0.30,0.74
0.28,0.21,0.30,0.74
0.28,0.22,0.29,0.75
0.28,0.21,0.30,0.75
0.27,0.21,0.29,0.75
0.27,0.20,0.29,0.73
0.27,0.21,0.30,0.74
0.27,0.21,0.30,0.73
0.29,0.22,0.29,0.72
0.28,0.21,0.30,0.73
0.28,0.22,0.29,0.73
0.28,0.20,0.30,0.73
0.27,0.21,0.29,0.72
0.28,0.21,0.30,0.72
0.28,0.21,0.30,0.74
0.27,0.20,0.30,0.73
0.29,0.21,0.30,0.72
0.27,0.21,0.30,0.73
0.28,0.22,0.30,0.73
0.28,0.21,0.30,0.74
0.29,0.22,0.30,0.73
0.28,0.22,0.31,0.74
