index,middle,ring,pinky
0.79,0.14,0.27,0.53
0.80,0.15,0.27,0.53
0.79,0.15,0.27,0.53
0.80,0.15,0.28,0.53
0.81,0.16,0.28,0.54
0.80,0.15,0.28,0.53
0.79,0.15,0.28,0.55
0.80,0.15,0.28,0.53
0.81,0.15,0.28,0.54
0.79,0.15,0.28,0.54
0.79,0.14,0.28,0.55
0.80,0.15,0.28,0.54
0.80,0.15,0.27,0.53
0.80,0.15,0.27,0.54
0.80,0.15,0.28,0.53
0.79,0.15,0.27,0.54
0.79,0.15,0.27,0.53
0.80,0.15,0.28,0.54
0.79,0.15,0.28,0.54
0.79,0.16,0.28,0.53
0.79,0.15,0.28,0.53
0.79,0.15,0.27,0.54
0.80,0.15,0.28,0.53
0.80,0.15,0.28,0.54
0.79,0.15,0.28,0.53
0.80,0.15,0.28,0.54
0.78,0.16,0.28,0.53
0.80,0.15,0.29,0.54
0.80,0.15,0.28,0.52
0.79,0.15,0.29,0.53
0.79,0.16,0.27,0.54
0.79,0.15,0.28,0.54
0.79,0.16,0.28,0.53
0.79,0.16,0.27,0.54
0.78,0.16,0.28,0.54
0.80,0.14,0.28,0.55
0.79,0.15,0.27,0.54
0.79,0.16,0.28,0.55
0.79,0.15,0.28,0.55
0.77,0.15,0.28,0.55
0.78,0.15,0.27,0.55
0.78,0.16,0.27,0.56
0.77,0.16,0.28,0.55
0.78,0.16,0.27,0.54
0.77,0.15,0.28,0.54
0.78,0.15,0.28,0.55
0.77,0.16,0.27,0.55
0.78,0.16,0.29,0.53
0.77,0.16,0.27,0.54
0.77,0.15,0.27,0.54
0.78,0.16,0.29,0.54
0.77,0.15,0.27,0.54
0.77,0.16,0.28,0.55
0.77,0.15,0.28,0.54
0.76,0.14,0.28,0.55
0.76,0.16,0.28,0.54
0.77,0.16,0.27,0.55
0.77,0.16,0.27,0.54
0.77,0.16,0.28,0.53
0.76,0.15,0.28,0.53
0.75,0.16,0.28,0.52
0.77,0.15,0.27,0.53
0.77,0.16,0.28,0.54
0.76,0.16,0.28,0.52
0.76,0.16,0.28,0.52
0.77,0.16,0.28,0.52
0.77,0.16,0.28,0.53
0.75,0.15,0.29,0.53
0.74,0.16,0.29,0.52
0.75,0.16,0.28,0.52
0.75,0.16,0.27,0.53
0.75,0.16,0.28,0.52
0.74,0.15,0.28,0.52
0.73,0.15,0.28,0.52
0.73,0.15,0.28,0.53
0.75,0.16,0.29,0.52
0.74,0.16,0.28,0.52
0.75,0.16,0.27,0.53
0.74,0.16,0.28,0.53
0.75,0.16,0.29,0.52
0.75,0.16,0.28,0.52
0.75,0.16,0.27,0.52
0.75,0.16,0.28,0.52
0.74,0.16,0.27,0.52
0.75,0.16,0.28,0.53
0.75,0.16,0.28,0.52
0.75,0.16,0.28,0.52
0.74,0.16,0.27,0.51
0.74,0.15,0.26,0.51
0.73,0.15,0.27,0.51
0.73,0.16,0.26,0.51
0.74,0.16,0.26,0.47
0.74,0.16,0.26,0.53
0.73,0.16,0.25,0.64
0.73,0.17,0.26,0.69
0.74,0.17,0.26,0.71
0.74,0.17,0.25,0.73
0.75,0.18,0.27,0.74
0.74,0.17,0.26,0.75
0.75,0.17,0.26,0.74
0.74,0.17,0.26,0.72
0.73,0.17,0.26,0.72
0.73,0.17,0.26,0.72
0.74,0.18,0.27,0.72
0.74,0.18,0.26,0.72
0.74,0.18,0.26,0.73
0.75,0.18,0.25,0.70
0.75,0.18,0.27,0.68
