index,middle,ring,pinky
0.79,0.28,0.28,0.42
0.79,0.32,0.27,0.44
0.79,0.31,0.27,0.44
0.79,0.30,0.27,0.40
0.80,0.29,0.29,0.36
0.78,0.29,0.28,0.35
0.79,0.28,0.29,0.36
0.80,0.28,0.29,0.36
0.81,0.29,0.28,0.38
0.83,0.32,0.26,0.38
0.83,0.35,0.27,0.37
0.84,0.36,0.28,0.38
0.84,0.36,0.27,0.37
0.83,0.37,0.27,0.37
0.84,0.38,0.28,0.38
0.83,0.37,0.29,0.38
0.84,0.38,0.29,0.36
0.84,0.38,0.30,0.37
0.83,0.37,0.30,0.37
0.83,0.37,0.28,0.38
0.84,0.39,0.28,0.37
0.84,0.39,0.28,0.33
0.84,0.39,0.29,0.33
0.83,0.39,0.29,0.34
0.82,0.38,0.29,0.35
0.84,0.39,0.30,0.34
0.83,0.37,0.28,0.36
0.83,0.38,0.29,0.35
0.84,0.39,0.29,0.34
0.83,0.39,0.28,0.35
0.83,0.39,0.29,0.35
0.83,0.38,0.28,0.35
0.83,0.38,0.29,0.35
0.84,0.43,0.28,0.34
0.85,0.47,0.28,0.35
0.85,0.50,0.28,0.35
0.85,0.53,0.28,0.35
0.84,0.46,0.29,0.34
0.85,0.33,0.28,0.34
0.84,0.30,0.28,0.35
0.84,0.29,0.28,0.35
0.83,0.28,0.28,0.37
0.83,0.29,0.28,0.37
0.83,0.29,0.29,0.36
0.83,0.33,0.29,0.37
0.83,0.32,0.30,0.37
0.83,0.34,0.28,0.37
0.83,0.32,0.29,0.37
0.83,0.33,0.30,0.37
0.83,0.34,0.29,0.37
0.83,0.33,0.29,0.39
0.83,0.33,0.28,0.38
0.83,0.35,0.30,0.36
0.83,0.35,0.30,0.37
0.84,0.36,0.31,0.37
0.84,0.37,0.31,0.37
0.83,0.36,0.31,0.37
0.84,0.36,0.31,0.40
0.83,0.34,0.29,0.39
0.83,0.27,0.28,0.38
0.81,0.35,0.29,0.37
0.83,0.32,0.30,0.37
0.82,0.33,0.29,0.36
0.83,0.32,0.29,0.37
0.81,0.31,0.29,0.40
0.81,0.32,0.29,0.42
0.83,0.32,0.28,0.41
0.82,0.29,0.30,0.40
0.82,0.28,0.29,0.40
0.81,0.28,0.29,0.38
0.82,0.27,0.30,0.36
0.82,0.27,0.29,0.36
0.80,0.26,0.29,0.35
0.82,0.26,0.30,0.35
0.83,0.26,0.30,0.36
0.81,0.26,0.29,0.37
0.82,0.27,0.29,0.36
0.81,0.26,0.29,0.36
0.83,0.27,0.29,0.36
0.83,0.27,0.29,0.35
0.82,0.27,0.28,0.35
0.81,0.26,0.28,0.35
0.81,0.25,0.29,0.33
0.82,0.24,0.29,0.35
0.81,0.24,0.29,0.34
0.81,0.24,0.29,0.33
0.80,0.24,0.29,0.34
0.80,0.25,0.29,0.34
0.80,0.29,0.30,0.34
0.81,0.31,0.30,0.34
0.81,0.34,0.29,0.34
0.83,0.29,0.30,0.35
0.83,0.35,0.31,0.35
0.84,0.35,0.33,0.34
0.83,0.38,0.33,0.34
0.84,0.34,0.33,0.35
0.84,0.30,0.31,0.34
0.83,0.30,0.33,0.35
0.81,0.27,0.33,0.34
0.83,0.28,0.32,0.35
0.82,0.27,0.31,0.35
0.82,0.28,0.32,0.37
0.81,0.28,0.32,0.38
0.82,0.30,0.31,0.43
0.83,0.29,0.29,0.45
0.82,0.29,0.28,0.46
0.83,0.29,0.28,0.45
0.81,0.29,0.28,0.45
0.80,0.29,0.30,0.38
0.81,0.30,0.30,0.38
0.81,0.31,0.29,0.38
0.80,0.30,0.30,0.39
0.81,0.30,0.30,0.39
0.81,0.30,0.30,0.39
0.82,0.31,0.28,0.38
0.82,0.31,0.27,0.38
0.83,0.31,0.28,0.38
0.82,0.31,0.29,0.39
0.80,0.31,0.27,0.37
0.83,0.33,0.28,0.37
0.83,0.32,0.28,0.39
0.83,0.32,0.29,0.39
0.81,0.32,0.27,0.39
0.82,0.32,0.28,0.39
0.81,0.30,0.28,0.41
0.81,0.30,0.28,0.41
0.82,0.30,0.28,0.41
0.82,0.30,0.28,0.40
0.81,0.29,0.29,0.40
0.81,0.25,0.30,0.40
0.80,0.26,0.31,0.39
0.79,0.27,0.30,0.39
0.78,0.27,0.28,0.40
0.79,0.27,0.29,0.40
0.79,0.27,0.30,0.39
0.79,0.26,0.30,0.39
0.79,0.27,0.30,0.39
0.79,0.27,0.28,0.40
0.79,0.26,0.28,0.40
0.79,0.27,0.28,0.39
0.79,0.27,0.28,0.38
0.79,0.27,0.27,0.40
0.79,0.27,0.28,0.40
0.78,0.28,0.26,0.40
0.79,0.25,0.27,0.39
0.80,0.26,0.26,0.39
0.80,0.27,0.26,0.38
0.80,0.27,0.27,0.39
0.80,0.29,0.28,0.38
0.80,0.30,0.28,0.38
0.81,0.32,0.29,0.38
0.80,0.32,0.27,0.38
0.80,0.31,0.28,0.37
0.80,0.29,0.29,0.38
0.80,0.29,0.28,0.37
0.79,0.28,0.29,0.40
0.79,0.28,0.28,0.41
0.79,0.29,0.28,0.41
0.80,0.30,0.29,0.35
0.80,0.30,0.29,0.38
0.81,0.31,0.28,0.38
0.80,0.31,0.29,0.37
0.79,0.29,0.29,0.38
0.80,0.29,0.28,0.38
0.80,0.30,0.27,0.38
0.79,0.31,0.28,0.38
0.79,0.31,0.28,0.38
0.80,0.30,0.28,0.39
0.80,0.33,0.27,0.38
0.80,0.32,0.28,0.38
0.80,0.33,0.27,0.38
0.81,0.33,0.29,0.37
0.80,0.33,0.29,0.39
0.81,0.34,0.29,0.38
0.80,0.32,0.29,0.39
0.80,0.27,0.30,0.39
0.79,0.26,0.29,0.38
0.80,0.27,0.29,0.38
0.80,0.27,0.29,0.37
0.80,0.26,0.28,0.38
0.80,0.27,0.29,0.38
0.80,0.28,0.28,0.37
0.81,0.27,0.29,0.38
0.80,0.27,0.29,0.37
0.80,0.26,0.29,0.38
0.82,0.23,0.29,0.38
0.84,0.24,0.29,0.36
0.84,0.25,0.27,0.36
0.86,0.22,0.28,0.36
0.86,0.25,0.27,0.36
0.86,0.26,0.28,0.35
0.87,0.27,0.29,0.36
0.87,0.28,0.30,0.37
0.87,0.29,0.27,0.37
0.87,0.30,0.27,0.38
0.87,0.30,0.28,0.38
0.87,0.31,0.28,0.38
0.87,0.29,0.29,0.38
0.87,0.30,0.28,0.37
0.88,0.28,0.28,0.37
0.87,0.25,0.29,0.36
0.87,0.24,0.29,0.37
0.86,0.25,0.29,0.36
0.86,0.22,0.28,0.36
0.85,0.22,0.28,0.36
0.86,0.22,0.28,0.37
0.85,0.24,0.29,0.37
0.85,0.23,0.27,0.38
0.86,0.21,0.27,0.38
0.86,0.22,0.26,0.39
0.85,0.22,0.27,0.41
0.84,0.22,0.28,0.45
0.85,0.20,0.28,0.47
0.85,0.20,0.28,0.47
0.85,0.21,0.28,0.47
0.83,0.20,0.28,0.42
0.84,0.20,0.28,0.40
0.83,0.21,0.28,0.35
0.83,0.22,0.29,0.35
0.83,0.21,0.29,0.35
0.83,0.20,0.28,0.35
0.83,0.20,0.27,0.34
0.83,0.21,0.28,0.35
0.84,0.22,0.28,0.34
0.83,0.23,0.28,0.32
0.83,0.23,0.28,0.31
0.84,0.25,0.29,0.32
0.83,0.25,0.29,0.32
0.83,0.25,0.29,0.33
0.84,0.25,0.29,0.35
0.84,0.25,0.29,0.34
0.84,0.27,0.29,0.34
0.84,0.28,0.28,0.34
0.85,0.28,0.29,0.33
0.85,0.28,0.29,0.33
0.84,0.29,0.28,0.33
0.84,0.29,0.28,0.35
0.84,0.29,0.29,0.34
0.84,0.26,0.29,0.35
0.84,0.23,0.28,0.34
0.84,0.23,0.28,0.35
0.83,0.23,0.28,0.35
0.84,0.25,0.26,0.34
0.84,0.25,0.27,0.36
0.84,0.24,0.28,0.38
0.83,0.24,0.27,0.36
0.84,0.24,0.27,0.37
0.83,0.23,0.26,0.38
0.84,0.25,0.26,0.39
0.84,0.24,0.27,0.39
0.85,0.22,0.28,0.39
0.84,0.22,0.27,0.41
0.84,0.23,0.28,0.42
0.83,0.22,0.28,0.42
0.84,0.24,0.27,0.40
0.84,0.24,0.28,0.38
0.83,0.23,0.27,0.38
0.84,0.23,0.28,0.38
0.84,0.24,0.28,0.37
0.84,0.24,0.27,0.38
0.83,0.24,0.28,0.38
0.84,0.25,0.28,0.38
0.84,0.25,0.28,0.38
0.84,0.24,0.28,0.37
0.84,0.24,0.27,0.37
0.84,0.25,0.26,0.39
0.83,0.25,0.27,0.39
0.83,0.24,0.27,0.38
0.84,0.26,0.26,0.39
0.82,0.24,0.28,0.39
0.84,0.26,0.27,0.39
0.84,0.25,0.27,0.39
0.83,0.25,0.28,0.38
0.84,0.26,0.27,0.39
0.84,0.23,0.28,0.39
0.83,0.22,0.28,0.38
0.84,0.24,0.28,0.37
0.83,0.24,0.28,0.39
0.82,0.24,0.28,0.38
0.81,0.25,0.29,0.38
0.84,0.25,0.28,0.38
0.85,0.25,0.29,0.39
0.84,0.24,0.30,0.39
0.85,0.25,0.29,0.40
0.85,0.24,0.27,0.37
0.84,0.23,0.28,0.37
0.85,0.24,0.28,0.38
0.85,0.25,0.29,0.38
0.84,0.23,0.29,0.37
0.85,0.24,0.29,0.37
0.85,0.24,0.29,0.36
0.85,0.24,0.29,0.38
0.84,0.24,0.29,0.37
0.85,0.24,0.29,0.37
0.84,0.25,0.28,0.38
0.85,0.24,0.28,0.37
0.84,0.24,0.29,0.38
0.85,0.24,0.29,0.37
0.84,0.23,0.28,0.38
0.85,0.25,0.27,0.37
0.83,0.24,0.27,0.38
0.85,0.25,0.28,0.40
0.84,0.24,0.27,0.39
0.83,0.24,0.28,0.38
0.85,0.25,0.27,0.39
0.85,0.25,0.27,0.39
0.84,0.25,0.27,0.38
0.85,0.26,0.27,0.39
0.85,0.25,0.27,0.38
0.84,0.23,0.28,0.39
0.85,0.24,0.27,0.39
0.85,0.24,0.28,0.38
0.85,0.25,0.27,0.39
0.85,0.24,0.28,0.38
0.85,0.24,0.28,0.38
0.85,0.25,0.27,0.39
0.85,0.25,0.28,0.37
0.84,0.24,0.27,0.38
0.85,0.25,0.28,0.39
0.85,0.25,0.28,0.37
0.86,0.25,0.28,0.39
0.84,0.24,0.28,0.38
0.85,0.25,0.28,0.38
0.85,0.25,0.26,0.38
0.85,0.25,0.27,0.38
0.85,0.25,0.28,0.39
0.84,0.24,0.27,0.38
0.85,0.25,0.28,0.38
0.85,0.24,0.28,0.39
0.85,0.24,0.28,0.38
0.85,0.25,0.28,0.37
0.85,0.25,0.28,0.36
0.85,0.24,0.27,0.38
0.85,0.23,0.27,0.40
0.84,0.23,0.28,0.40
0.85,0.24,0.28,0.41
0.85,0.23,0.28,0.40
0.85,0.23,0.28,0.39
0.84,0.23,0.28,0.39
0.85,0.23,0.29,0.38
0.85,0.23,0.28,0.39
0.85,0.23,0.28,0.38
0.85,0.23,0.27,0.40
0.84,0.22,0.28,0.39
0.85,0.23,0.28,0.39
0.85,0.23,0.29,0.39
0.84,0.23,0.27,0.39
0.85,0.25,0.27,0.39
0.85,0.25,0.28,0.37
0.85,0.22,0.27,0.38
0.85,0.21,0.27,0.38
0.83,0.20,0.28,0.37
0.85,0.22,0.28,0.37
0.85,0.23,0.27,0.36
0.84,0.22,0.28,0.37
0.84,0.22,0.28,0.38
0.83,0.21,0.27,0.38
0.85,0.23,0.28,0.40
0.84,0.23,0.27,0.38
0.85,0.24,0.27,0.39
0.85,0.24,0.27,0.38
0.85,0.24,0.27,0.39
0.84,0.23,0.27,0.39
0.84,0.23,0.27,0.38
0.85,0.24,0.27,0.38
0.82,0.23,0.27,0.39
0.85,0.25,0.27,0.39
0.85,0.24,0.28,0.39
0.85,0.24,0.27,0.39
0.84,0.23,0.28,0.39
0.83,0.23,0.29,0.39
0.84,0.24,0.29,0.39
0.84,0.24,0.29,0.39
0.84,0.23,0.29,0.40
0.84,0.25,0.29,0.40
0.84,0.25,0.28,0.42
0.83,0.24,0.30,0.39
0.84,0.24,0.29,0.40
0.85,0.25,0.29,0.39
0.84,0.25,0.30,0.37
0.85,0.26,0.29,0.38
0.84,0.26,0.29,0.38
0.85,0.27,0.28,0.38
0.84,0.27,0.29,0.38
0.85,0.27,0.29,0.40
0.85,0.27,0.29,0.37
0.84,0.26,0.29,0.38
0.85,0.27,0.29,0.38
0.85,0.26,0.29,0.38
0.85,0.24,0.29,0.37
0.84,0.23,0.29,0.37
0.84,0.24,0.29,0.37
0.85,0.25,0.29,0.37
0.85,0.25,0.29,0.37
0.85,0.24,0.28,0.35
0.84,0.25,0.28,0.35
0.83,0.24,0.29,0.35
0.82,0.25,0.30,0.33
0.81,0.24,0.30,0.33
0.81,0.25,0.30,0.34
0.82,0.25,0.30,0.34
0.82,0.25,0.30,0.36
0.82,0.25,0.30,0.35
0.82,0.25,0.29,0.35
0.83,0.24,0.29,0.36
0.80,0.24,0.30,0.36
0.82,0.25,0.29,0.37
0.82,0.24,0.29,0.36
0.83,0.24,0.29,0.37
0.82,0.24,0.29,0.38
0.83,0.24,0.29,0.39
0.83,0.25,0.29,0.40
0.83,0.24,0.30,0.40
0.83,0.25,0.30,0.40
0.83,0.25,0.29,0.39
0.83,0.25,0.29,0.39
0.83,0.25,0.29,0.39
0.83,0.25,0.29,0.38
0.83,0.25,0.29,0.39
0.81,0.24,0.29,0.39
0.82,0.25,0.30,0.39
0.83,0.25,0.30,0.38
0.82,0.25,0.29,0.39
0.82,0.24,0.30,0.38
0.83,0.25,0.30,0.38
