index,middle,ring,pinky
0.67,0.47,0.63,0.60
0.67,0.49,0.61,0.59
0.68,0.49,0.62,0.59
0.68,0.49,0.62,0.59
0.67,0.48,0.63,0.58
0.67,0.49,0.63,0.60
0.67,0.48,0.62,0.60
0.67,0.48,0.63,0.60
0.67,0.48,0.63,0.60
0.68,0.49,0.63,0.60
0.67,0.48,0.62,0.60
0.67,0.48,0.63,0.59
0.68,0.50,0.62,0.60
0.68,0.48,0.62,0.60
0.67,0.48,0.63,0.60
0.68,0.50,0.62,0.59
0.68,0.48,0.62,0.60
0.67,0.49,0.63,0.60
0.68,0.49,0.63,0.59
0.68,0.49,0.62,0.59
0.66,0.48,0.62,0.61
0.67,0.48,0.62,0.60
0.67,0.49,0.63,0.60
0.67,0.49,0.62,0.59
0.68,0.49,0.62,0.59
0.68,0.49,0.62,0.59
0.68,0.49,0.62,0.59
0.68,0.50,0.63,0.60
0.68,0.49,0.62,0.60
0.68,0.49,0.62,0.59
0.69,0.49,0.63,0.59
0.68,0.49,0.62,0.59
0.68,0.49,0.62,0.61
0.69,0.49,0.62,0.60
0.69,0.49,0.62,0.59
0.68,0.49,0.62,0.59
0.68,0.49,0.62,0.60
0.69,0.49,0.63,0.60
0.68,0.49,0.62,0.60
0.68,0.49,0.62,0.59
0.69,0.50,0.63,0.60
0.68,0.49,0.63,0.60
0.69,0.50,0.63,0.59
0.67,0.49,0.62,0.60
0.69,0.50,0.63,0.60
0.68,0.50,0.63,0.61
0.70,0.50,0.64,0.59
0.70,0.49,0.63,0.60
0.69,0.49,0.63,0.60
0.70,0.49,0.64,0.60
0.71,0.50,0.64,0.61
0.71,0.52,0.65,0.61
0.72,0.53,0.69,0.61
0.73,0.54,0.70,0.64
0.73,0.57,0.71,0.63
0.74,0.57,0.73,0.64
0.74,0.56,0.72,0.65
0.75,0.57,0.73,0.65
0.75,0.58,0.72,0.66
0.75,0.58,0.71,0.67
0.75,0.58,0.72,0.67
0.75,0.57,0.62,0.69
0.74,0.58,0.72,0.69
0.75,0.58,0.72,0.67
0.75,0.57,0.56,0.69
0.76,0.59,0.74,0.68
0.75,0.58,0.75,0.69
0.75,0.59,0.74,0.68
0.77,0.59,0.75,0.68
0.77,0.60,0.74,0.68
0.78,0.60,0.75,0.69
0.78,0.61,0.74,0.68
0.78,0.61,0.74,0.67
0.77,0.60,0.74,0.67
0.77,0.60,0.74,0.67
0.77,0.60,0.73,0.66
0.77,0.60,0.74,0.66
0.77,0.60,0.73,0.67
0.78,0.60,0.73,0.67
0.77,0.60,0.74,0.66
0.78,0.61,0.74,0.66
0.77,0.60,0.74,0.67
0.79,0.60,0.75,0.66
0.78,0.61,0.74,0.66
0.76,0.60,0.73,0.67
0.77,0.60,0.74,0.65
0.77,0.59,0.74,0.67
0.78,0.61,0.74,0.65
0.77,0.59,0.74,0.66
0.78,0.60,0.74,0.65
0.76,0.59,0.74,0.65
0.76,0.60,0.73,0.65
0.77,0.60,0.74,0.65
0.77,0.60,0.73,0.65
0.78,0.60,0.73,0.65
0.78,0.60,0.73,0.65
0.77,0.59,0.74,0.66
0.77,0.60,0.74,0.66
0.78,0.60,0.74,0.65
0.78,0.60,0.74,0.64
0.78,0.61,0.74,0.65
0.78,0.60,0.74,0.65
0.77,0.60,0.73,0.65
0.78,0.61,0.74,0.66
0.78,0.60,0.74,0.66
0.77,0.61,0.74,0.66
0.77,0.60,0.73,0.66
0.78,0.59,0.74,0.66
0.77,0.59,0.74,0.66
0.77,0.59,0.74,0.66
0.77,0.59,0.74,0.66
0.78,0.60,0.73,0.65
0.78,0.60,0.73,0.66
0.77,0.61,0.73,0.65
0.78,0.60,0.74,0.65
0.78,0.61,0.74,0.65
0.77,0.60,0.74,0.65
0.78,0.59,0.74,0.66
0.77,0.60,0.74,0.65
0.78,0.60,0.74,0.66
0.77,0.60,0.74,0.66
0.78,0.60,0.74,0.66
0.78,0.60,0.75,0.66
0.77,0.59,0.73,0.66
0.78,0.59,0.73,0.66
0.78,0.60,0.74,0.66
0.79,0.60,0.74,0.65
0.77,0.60,0.74,0.66
0.78,0.60,0.74,0.66
0.78,0.59,0.73,0.65
0.77,0.60,0.74,0.64
0.77,0.59,0.73,0.66
0.78,0.60,0.74,0.66
0.78,0.61,0.74,0.65
0.77,0.59,0.74,0.65
0.78,0.59,0.73,0.66
0.78,0.60,0.74,0.66
0.78,0.60,0.73,0.66
0.78,0.60,0.74,0.66
0.78,0.60,0.74,0.65
0.78,0.60,0.73,0.66
0.77,0.60,0.73,0.66
0.78,0.60,0.72,0.66
0.77,0.60,0.73,0.66
0.77,0.59,0.75,0.66
0.78,0.59,0.73,0.67
0.77,0.59,0.72,0.65
0.76,0.59,0.53,0.65
0.77,0.60,0.73,0.65
0.78,0.59,0.73,0.66
0.78,0.59,0.73,0.65
0.78,0.59,0.73,0.65
0.78,0.60,0.72,0.65
0.77,0.58,0.74,0.64
