index,middle,ring,pinky
index,middle,ring,pinky
14.00,34.00,19.00,19.00
15.00,32.00,18.00,19.00
15.00,30.00,15.00,25.00
14.00,31.00,18.00,23.00
12.00,31.00,18.00,20.00
14.00,27.00,15.00,20.00
14.00,29.00,17.00,18.00
12.00,32.00,16.00,22.00
14.00,35.00,15.00,18.00
15.00,25.00,16.00,19.00
13.00,32.00,16.00,17.00
14.00,29.00,17.00,18.00
13.00,34.00,18.00,18.00
15.00,39.00,18.00,15.00
13.00,36.00,18.00,20.00
13.00,31.00,20.00,20.00
13.00,38.00,17.00,17.00
14.00,35.00,18.00,20.00
